,location,total_sqft,bath,price,bedroom
0, Devarachikkanahalli,1250.0,2.0,44.0,3
1, Devarachikkanahalli,1250.0,2.0,40.0,2
2, Devarachikkanahalli,1200.0,2.0,83.0,2
3, Devarachikkanahalli,1170.0,2.0,40.0,2
4, Devarachikkanahalli,1425.0,2.0,65.0,3
5, Devarachikkanahalli,947.0,2.0,43.0,2
6, Devarachikkanahalli,1130.0,2.0,36.0,2
7, Devarachikkanahalli,1417.0,2.0,76.0,3
8, Devarachikkanahalli,1230.0,2.0,58.0,2
9, Devarachikkanahalli,1705.0,3.0,75.0,3
10, Devarachikkanahalli,1116.0,2.0,47.0,2
11, Devarachikkanahalli,991.0,2.0,40.0,2
12, Devarachikkanahalli,1700.0,3.0,71.0,3
13,1st Block Jayanagar,2850.0,4.0,428.0,4
14,1st Block Jayanagar,1630.0,3.0,194.0,3
15,1st Block Jayanagar,1200.0,6.0,125.0,6
16,1st Block Jayanagar,1875.0,2.0,235.0,3
17,1st Block Jayanagar,1200.0,2.0,130.0,3
18,1st Block Jayanagar,1235.0,2.0,148.0,2
19,1st Block Jayanagar,2750.0,4.0,413.0,4
20,1st Block Jayanagar,2450.0,4.0,368.0,4
21,1st Phase JP Nagar,2825.0,4.0,250.0,4
22,1st Phase JP Nagar,1875.0,3.0,167.0,3
23,1st Phase JP Nagar,1500.0,5.0,85.0,5
24,1st Phase JP Nagar,2065.0,4.0,210.0,3
25,1st Phase JP Nagar,2024.0,3.0,157.0,3
26,1st Phase JP Nagar,2059.0,3.0,225.0,3
27,1st Phase JP Nagar,1394.0,2.0,100.0,2
28,1st Phase JP Nagar,1077.0,2.0,93.0,2
29,1st Phase JP Nagar,1566.0,2.0,180.0,2
30,1st Phase JP Nagar,840.0,2.0,50.0,1
31,1st Phase JP Nagar,1590.0,3.0,131.0,3
32,1st Phase JP Nagar,2180.0,3.0,210.0,3
33,1st Phase JP Nagar,1180.0,2.0,88.5,2
34,1st Phase JP Nagar,1200.0,2.0,86.0,2
35,1st Phase JP Nagar,1394.0,2.0,85.0,2
36,1st Phase JP Nagar,2077.0,3.0,175.0,3
37,1st Phase JP Nagar,4550.0,2.0,240.0,4
38,1st Phase JP Nagar,1205.0,2.0,85.0,2
39,1st Phase JP Nagar,2615.0,5.0,222.0,4
40,1st Phase JP Nagar,900.0,2.0,75.0,2
41,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
42,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
43,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
44,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
45,2nd Phase Judicial Layout,900.0,2.0,41.0,2
46,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
47,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
48,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
49,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
52,2nd Stage Nagarbhavi,1200.0,4.0,245.0,4
53,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
54,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
55,2nd Stage Nagarbhavi,600.0,4.0,100.0,3
56,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
57,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
58,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
59,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
60,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
61,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
62,2nd Stage Nagarbhavi,1500.0,4.0,233.0,6
63,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
64,5th Block Hbr Layout,1206.0,2.0,56.0,2
65,5th Block Hbr Layout,1270.0,2.0,70.0,3
66,5th Block Hbr Layout,1200.0,6.0,220.0,5
67,5th Block Hbr Layout,1200.0,4.0,205.0,4
68,5th Block Hbr Layout,1312.0,2.0,69.0,2
69,5th Block Hbr Layout,1200.0,5.0,205.0,5
70,5th Block Hbr Layout,5100.0,5.0,300.0,6
71,5th Block Hbr Layout,1200.0,5.0,205.0,5
72,5th Phase JP Nagar,1075.0,2.0,60.0,2
73,5th Phase JP Nagar,1150.0,3.0,52.5,2
74,5th Phase JP Nagar,1256.0,2.0,62.8,2
75,5th Phase JP Nagar,1207.0,2.0,63.0,2
76,5th Phase JP Nagar,1725.0,2.0,100.0,3
77,5th Phase JP Nagar,1440.0,2.0,60.0,2
78,5th Phase JP Nagar,1400.0,2.0,88.0,3
79,5th Phase JP Nagar,1450.0,2.0,58.0,2
80,5th Phase JP Nagar,1700.0,2.0,100.0,3
81,5th Phase JP Nagar,1485.0,2.0,67.0,3
82,5th Phase JP Nagar,2500.0,5.0,110.0,5
83,5th Phase JP Nagar,600.0,1.0,30.0,1
84,5th Phase JP Nagar,1390.0,2.0,65.0,2
85,5th Phase JP Nagar,1256.0,2.0,62.8,2
86,5th Phase JP Nagar,1000.0,2.0,48.0,2
87,5th Phase JP Nagar,1350.0,2.0,75.0,3
88,5th Phase JP Nagar,552.0,1.0,23.5,1
89,5th Phase JP Nagar,1200.0,2.0,51.0,2
90,5th Phase JP Nagar,1240.0,3.0,60.0,3
91,5th Phase JP Nagar,1550.0,3.0,75.0,3
92,5th Phase JP Nagar,1485.0,2.0,66.0,3
93,5th Phase JP Nagar,1030.0,2.0,57.0,2
94,5th Phase JP Nagar,1200.0,2.0,68.0,2
95,5th Phase JP Nagar,1190.0,2.0,61.8,2
96,5th Phase JP Nagar,4000.0,5.0,170.0,5
97,5th Phase JP Nagar,1080.0,2.0,53.0,2
98,5th Phase JP Nagar,1041.0,2.0,54.0,2
99,5th Phase JP Nagar,812.0,2.0,42.0,2
100,5th Phase JP Nagar,1010.0,2.0,57.0,2
101,5th Phase JP Nagar,1450.0,2.0,73.0,3
102,5th Phase JP Nagar,2500.0,8.0,95.0,7
103,5th Phase JP Nagar,1075.0,2.0,60.0,2
104,6th Phase JP Nagar,1192.0,2.0,74.0,2
105,6th Phase JP Nagar,1180.0,2.0,80.0,2
106,6th Phase JP Nagar,3245.0,4.0,250.0,4
107,6th Phase JP Nagar,1645.0,3.0,100.0,3
108,6th Phase JP Nagar,1140.0,2.0,65.0,2
109,6th Phase JP Nagar,1650.0,6.0,135.0,8
110,6th Phase JP Nagar,2040.0,3.0,200.0,3
111,6th Phase JP Nagar,1213.0,2.0,63.0,2
112,6th Phase JP Nagar,1170.0,2.0,120.0,2
113,6th Phase JP Nagar,1216.0,2.0,60.0,2
114,6th Phase JP Nagar,1460.0,2.0,80.0,2
115,6th Phase JP Nagar,2003.0,3.0,200.0,3
116,6th Phase JP Nagar,1810.0,3.0,131.0,3
117,6th Phase JP Nagar,1515.0,2.0,135.0,3
118,6th Phase JP Nagar,1192.0,2.0,75.0,2
119,6th Phase JP Nagar,1280.0,2.0,88.0,2
120,7th Phase JP Nagar,1080.0,2.0,72.0,2
